SCHOOL,NUMBER OF CANDIDATES,SAT FOR EXAM,SCHOOL OWNERSHIP,SCHOOL CATEGORY,SCHOOL TYPE,COMBINATIONS CATEGORY,ACADEMIC LEVEL CATEGORY,TOTAL PASSED CANDIDATES,STUDENTS,TEACHERS,STUDENT-TEACHER RATIO,GPA
s0100,,,,,,,,,Not Available,Not Available,Not Available,
s0101,197,196,GOVERNMENT,BOYS ONLY,DAY AND BOARDING,MIXED,COMBINED OA,196,1515,80,19:1,2.7577
s0102,,,,,,,,,Not Available,Not Available,Not Available,
s0103,471,467,,,,,,467,Not Available,Not Available,Not Available,2.7099
s0104,131,131,,,,,,130,Not Available,Not Available,Not Available,2.7455
s0105,169,169,,,,,,169,Not Available,Not Available,Not Available,2.1617
s0106,8,8,,,,,,8,Not Available,Not Available,Not Available,2.7917
s0107,,,,,,,,,Not Available,Not Available,Not Available,
s0108,282,280,GOVERNMENT,BOYS AND GIRLS,BOARDING,SCIENCE,COMBINED OA,280,1000,80,13:1,2.7375
s0109,599,596,,,,,,596,Not Available,Not Available,Not Available,2.3356
s0110,184,183,GOVERNMENT,BOYS ONLY,BOARDING,MIXED,COMBINED OA,183,730,60,12:1,1.6548
s0111,7,7,,,,,,7,Not Available,Not Available,Not Available,3.3810
s0112,203,194,,,,,,191,Not Available,Not Available,Not Available,2.7706
s0113,22,22,PRIVATE,BOYS ONLY,BOARDING,MIXED,COMBINED OA,22,300,30,10:1,2.7576
s0114,15,15,,,,,,15,Not Available,Not Available,Not Available,2.6889
s0115,305,303,,,,,,303,Not Available,Not Available,Not Available,2.3421
s0116,199,199,,,,,,199,Not Available,Not Available,Not Available,2.6265
s0117,6,6,,,,,,6,Not Available,Not Available,Not Available,3.0833
s0118,10,10,,,,,,10,Not Available,Not Available,Not Available,2.0667
s0119,183,183,GOVERNMENT,BOYS ONLY,BOARDING,MIXED,COMBINED OA,183,820,70,12:1,1.6384
s0120,463,463,GOVERNMENT,BOYS ONLY,BOARDING,MIXED,ALEVEL ONLY,463,900,30,30:1,2.4669
s0121,23,23,,,,,,23,Not Available,Not Available,Not Available,2.4565
s0122,,,,,,,,,Not Available,Not Available,Not Available,
s0123,315,311,,,,,,311,Not Available,Not Available,Not Available,1.9871
s0124,6,6,,,,,,6,Not Available,Not Available,Not Available,2.8056
s0125,441,441,,,,,,441,Not Available,Not Available,Not Available,2.4607
s0126,,,,,,,,,Not Available,Not Available,Not Available,
s0127,,,,,,,,,Not Available,Not Available,Not Available,
s0128,168,168,,,,,,168,Not Available,Not Available,Not Available,2.1171
s0129,317,315,,,,,,314,Not Available,Not Available,Not Available,2.4963
s0130,36,36,PRIVATE,BOYS ONLY,BOARDING,MIXED,COMBINED OA,36,300,30,10:1,2.2593
s0131,,,,,,,,,Not Available,Not Available,Not Available,
s0132,385,385,,,,,,385,Not Available,Not Available,Not Available,2.6355
s0133,342,342,GOVERNMENT,BOYS ONLY,BOARDING,MIXED,ALEVEL ONLY,341,800,40,20:1,2.5699
s0134,241,239,,,,,,239,Not Available,Not Available,Not Available,2.2957
s0135,242,240,,,,,,240,Not Available,Not Available,Not Available,2.6299
s0136,236,235,,,,,,235,Not Available,Not Available,Not Available,2.0184
s0137,,,,,,,,,Not Available,Not Available,Not Available,
s0138,164,163,,,,,,162,Not Available,Not Available,Not Available,2.6554
s0139,198,194,,,,,,194,Not Available,Not Available,Not Available,2.5430
s0140,135,133,GOVERNMENT,BOYS ONLY,BOARDING,MIXED,COMBINED OA,133,660,50,13:1,1.4749
s0141,2,2,,,,,,2,Not Available,Not Available,Not Available,1.6667
s0142,396,393,GOVERNMENT,BOYS ONLY,BOARDING,MIXED,ALEVEL ONLY,393,890,60,15:1,2.4296
s0143,468,465,,,,,,464,Not Available,Not Available,Not Available,2.6935
s0144,429,428,,,,,,428,Not Available,Not Available,Not Available,2.2235
s0145,245,245,,,,,,245,Not Available,Not Available,Not Available,2.5245
s0146,24,24,PRIVATE,BOYS ONLY,BOARDING,MIXED,COMBINED OA,24,400,25,16:1,3.0417
s0147,206,205,,,,,,201,Not Available,Not Available,Not Available,3.1364
s0148,22,22,,,,,,22,Not Available,Not Available,Not Available,2.1970
s0149,477,473,,,,,,473,Not Available,Not Available,Not Available,2.2530
s0150,453,452,GOVERNMENT,BOYS ONLY,BOARDING,MIXED,ALEVEL ONLY,452,850,35,24:1,2.6449
s0151,679,676,GOVERNMENT,BOYS ONLY,,MIXED,ALEVEL ONLY,676,1200,50,24:1,2.2133
s0152,209,204,,,,,,204,Not Available,Not Available,Not Available,2.6242
s0153,252,252,,,,,,252,Not Available,Not Available,Not Available,2.7037
s0154,3,3,PRIVATE,BOYS ONLY,BOARDING,MIXED,COMBINED OA,3,300,25,12:1,2.0556
s0155,109,109,,,,,,109,Not Available,Not Available,Not Available,1.4144
s0156,77,76,GOVERNMENT,BOYS AND GIRLS,BOARDING,SCIENCE,COMBINED OA,76,1070,69,16:1,2.8838
s0157,,,,,,,,,Not Available,Not Available,Not Available,
s0158,428,427,GOVERNMENT,BOYS ONLY,BOARDING,MIXED,ALEVEL ONLY,427,1000,50,20:1,2.4161
s0159,,,,,,,,,Not Available,Not Available,Not Available,
s0160,281,281,,,,,,281,Not Available,Not Available,Not Available,2.2811
s0161,,,,,,,,,Not Available,Not Available,Not Available,
s0162,,,,,,,,,Not Available,Not Available,Not Available,
s0163,,,,,,,,,Not Available,Not Available,Not Available,
s0164,18,18,,,,,,18,Not Available,Not Available,Not Available,3.1574
s0165,17,17,PRIVATE,BOYS ONLY,BOARDING,MIXED,COMBINED OA,17,220,20,11:1,2.0392
s0166,,,,,,,,,Not Available,Not Available,Not Available,
s0167,20,19,PRIVATE,BOYS AND GIRLS,BOARDING,MIXED,COMBINED OA,19,400,20,20:1,2.9386
s0168,39,39,PRIVATE,BOYS ONLY,BOARDING,MIXED,COMBINED OA,39,400,30,13:1,2.1709
s0169,,,,,,,,,Not Available,Not Available,Not Available,
s0170,,,,,,,,,Not Available,Not Available,Not Available,
s0171,,,,,,,,,Not Available,Not Available,Not Available,
s0172,,,PRIVATE,BOYS ONLY,BOARDING,,,,500,50,10:1,
s0173,,,,,,,,,Not Available,Not Available,Not Available,
s0174,26,26,,,,,,26,Not Available,Not Available,Not Available,3.2179
s0175,44,44,,,,,,44,Not Available,Not Available,Not Available,2.0152
s0176,,,,,,,,,Not Available,Not Available,Not Available,
s0177,37,37,,,,,,37,Not Available,Not Available,Not Available,3.1622
s0178,7,7,,,,,,7,Not Available,Not Available,Not Available,3.1667
s0179,,,,,,,,,Not Available,Not Available,Not Available,
s0180,,,,,,,,,Not Available,Not Available,Not Available,
s0181,4,4,PRIVATE,BOYS AND GIRLS,BOARDING,MIXED,COMBINED OA,4,530,40,13:1,2.8333
s0182,34,33,PRIVATE,BOYS ONLY,DAY AND BOARDING,MIXED,COMBINED OA,33,170,19,9:1,3.0101
s0183,,,,,,,,,Not Available,Not Available,Not Available,
s0184,31,30,PRIVATE,BOYS AND GIRLS,BOARDING,MIXED,COMBINED OA,30,500,30,17:1,1.6222
s0185,,,,,,,,,Not Available,Not Available,Not Available,
s0186,,,,,,,,,Not Available,Not Available,Not Available,
s0187,,,,,,,,,Not Available,Not Available,Not Available,
s0188,88,88,PRIVATE,BOYS AND GIRLS,BOARDING,MIXED,COMBINED OA,88,880,60,15:1,2.9242
s0189,85,85,PRIVATE,BOYS ONLY,DAY AND BOARDING,MIXED,COMBINED OA,85,500,45,11:1,1.8216
s0190,16,16,,,,,,16,Not Available,Not Available,Not Available,2.8021
s0191,,,,,,,,,Not Available,Not Available,Not Available,
s0192,,,PRIVATE,BOYS AND GIRLS,BOARDING,,,,270,20,14:1,
s0193,,,,,,,,,Not Available,Not Available,Not Available,
s0194,,,PRIVATE,BOYS AND GIRLS,BOARDING,,,,1000,50,20:1,
s0195,,,,,,,,,Not Available,Not Available,Not Available,
s0196,,,PRIVATE,BOYS AND GIRLS,BOARDING,,,,320,15,21:1,
s0197,11,11,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,MIXED,COMBINED OA,11,400,20,20:1,3.6364
s0198,9,9,,,,,,9,Not Available,Not Available,Not Available,2.8519
s0199,,,,,,,,,Not Available,Not Available,Not Available,
s0200,,,,,,,,,Not Available,Not Available,Not Available,
s0201,404,403,,,,,,403,Not Available,Not Available,Not Available,2.4309
s0202,476,476,GOVERNMENT,GIRLS ONLY,BOARDING,MIXED,ALEVEL ONLY,476,800,40,20:1,2.5826
s0203,290,290,GOVERNMENT,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,289,770,65,12:1,2.9782
s0204,157,156,GOVERNMENT,GIRLS ONLY,DAY AND BOARDING,MIXED,COMBINED OA,156,1251,67,19:1,3.1560
s0205,35,35,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,35,800,40,20:1,2.7619
s0206,100,100,GOVERNMENT,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,100,650,50,13:1,2.0217
s0207,18,18,,,,,,18,Not Available,Not Available,Not Available,2.7685
s0208,250,249,,,,,,249,Not Available,Not Available,Not Available,2.7651
s0209,387,386,GOVERNMENT,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,386,500,40,13:1,2.8614
s0210,60,60,,,,,,60,Not Available,Not Available,Not Available,2.4139
s0211,424,424,,,,,,424,Not Available,Not Available,Not Available,2.8451
s0212,383,380,,,,,,380,Not Available,Not Available,Not Available,2.4254
s0213,242,242,,,,,,242,Not Available,Not Available,Not Available,2.4497
s0214,145,145,GOVERNMENT,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,145,600,45,13:1,1.6425
s0215,313,312,,,,,,312,Not Available,Not Available,Not Available,2.0422
s0216,438,435,,,,,,435,Not Available,Not Available,Not Available,2.4034
s0217,15,15,,,,,,15,Not Available,Not Available,Not Available,3.1000
s0218,255,253,,,,,,253,Not Available,Not Available,Not Available,2.9150
s0219,398,398,,,,,,397,Not Available,Not Available,Not Available,2.4261
s0220,122,122,GOVERNMENT,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,122,700,50,14:1,1.9699
s0221,361,361,,,,,,361,Not Available,Not Available,Not Available,2.2410
s0222,193,191,,,,,,190,Not Available,Not Available,Not Available,3.2539
s0223,30,30,,,,,,30,Not Available,Not Available,Not Available,3.1222
s0224,41,41,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,41,500,30,17:1,1.9472
s0225,,,PRIVATE,GIRLS ONLY,BOARDING,,,,500,25,20:1,
s0226,,,,,,,,,Not Available,Not Available,Not Available,
s0227,553,549,,,,,,549,Not Available,Not Available,Not Available,2.8063
s0228,386,385,GOVERNMENT,GIRLS ONLY,BOARDING,MIXED,ALEVEL ONLY,385,700,50,14:1,2.6671
s0229,262,262,,,,,,262,Not Available,Not Available,Not Available,2.6724
s0230,365,362,,,,,,362,Not Available,Not Available,Not Available,2.6975
s0231,,,,,,,,,Not Available,Not Available,Not Available,
s0232,,,PRIVATE,GIRLS ONLY,BOARDING,,,,360,20,18:1,
s0233,286,286,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,286,500,45,11:1,1.7931
s0234,10,10,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,10,322,19,17:1,3.5000
s0235,10,10,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,10,600,45,13:1,2.8167
s0236,,,,,,,,,Not Available,Not Available,Not Available,
s0237,,,PRIVATE,GIRLS ONLY,BOARDING,ARTS,COMBINED OA,,420,25,17:1,
s0238,,,,,,,,,Not Available,Not Available,Not Available,
s0239,,,PRIVATE,GIRLS ONLY,BOARDING,,,,350,28,13:1,
s0240,8,8,,,,,,8,Not Available,Not Available,Not Available,3.1458
s0241,28,27,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,27,500,40,13:1,3.0864
s0242,,,,,,,,,Not Available,Not Available,Not Available,
s0243,,,,,,,,,Not Available,Not Available,Not Available,
s0244,,,,,,,,,Not Available,Not Available,Not Available,
s0245,18,18,,,,,,18,Not Available,Not Available,Not Available,2.6296
s0246,28,26,,,,,,26,Not Available,Not Available,Not Available,3.1795
s0247,10,10,,,,,,10,Not Available,Not Available,Not Available,2.3333
s0248,81,81,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,81,880,70,13:1,1.9342
s0249,40,40,PRIVATE,GIRLS ONLY,DAY AND BOARDING,MIXED,COMBINED OA,40,500,30,17:1,2.6333
s0250,,,,,,,,,Not Available,Not Available,Not Available,
s0251,,,,,,,,,Not Available,Not Available,Not Available,
s0252,47,47,,,,,,47,Not Available,Not Available,Not Available,2.9433
s0253,,,,,,,,,Not Available,Not Available,Not Available,
s0254,7,7,,,,,,7,Not Available,Not Available,Not Available,2.6429
s0255,140,140,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,140,420,43,10:1,2.0845
s0256,40,40,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,40,280,22,13:1,2.7625
s0257,,,,,,,,,Not Available,Not Available,Not Available,
s0258,,,,,,,,,Not Available,Not Available,Not Available,
s0259,,,,,,,,,Not Available,Not Available,Not Available,
s0260,,,,,,,,,Not Available,Not Available,Not Available,
s0261,,,PRIVATE,GIRLS ONLY,DAY AND BOARDING,ARTS,COMBINED OA,,Not Available,Not Available,Not Available,
s0262,,,PRIVATE,GIRLS ONLY,BOARDING,,,,320,30,11:1,
s0263,83,83,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,83,480,35,14:1,2.3173
s0264,82,82,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,82,600,37,16:1,2.6667
s0265,,,,,,,,,Not Available,Not Available,Not Available,
s0266,6,6,,,,,,6,Not Available,Not Available,Not Available,3.2500
s0267,,,,,,,,,Not Available,Not Available,Not Available,
s0268,,,PRIVATE,GIRLS ONLY,BOARDING,,,,500,32,16:1,
s0269,,,,,,,,,Not Available,Not Available,Not Available,
s0270,,,,,,,,,Not Available,Not Available,Not Available,
s0271,110,110,,,,,,110,Not Available,Not Available,Not Available,3.0136
s0272,54,53,,,,,,53,Not Available,Not Available,Not Available,2.3931
s0273,,,PRIVATE,GIRLS ONLY,BOARDING,,,,300,20,15:1,
s0274,,,PRIVATE,BOYS AND GIRLS,BOARDING,,,,Not Available,Not Available,Not Available,
s0275,8,8,,,,,,8,Not Available,Not Available,Not Available,2.8958
s0276,323,321,GOVERNMENT,GIRLS ONLY,BOARDING,MIXED,ALEVEL ONLY,320,700,25,28:1,3.0218
s0277,,,PRIVATE,GIRLS ONLY,BOARDING,,,,320,25,13:1,
s0278,,,,,,,,,Not Available,Not Available,Not Available,
s0279,12,12,,,,,,12,Not Available,Not Available,Not Available,2.4583
s0280,,,,,,,,,Not Available,Not Available,Not Available,
s0281,187,186,,,,,,186,Not Available,Not Available,Not Available,2.3916
s0282,,,,,,,,,Not Available,Not Available,Not Available,
s0283,5,5,PRIVATE,GIRLS ONLY,BOARDING,,,5,280,25,11:1,2.4333
s0284,34,34,,,,,,34,Not Available,Not Available,Not Available,2.7059
s0285,7,7,,,,,,7,Not Available,Not Available,Not Available,2.8571
s0286,,,PRIVATE,GIRLS ONLY,BOARDING,,,,330,30,11:1,
s0287,,,,,,,,,Not Available,Not Available,Not Available,
s0288,,,,,,,,,Not Available,Not Available,Not Available,
s0289,,,PRIVATE,GIRLS ONLY,BOARDING,,,,380,30,13:1,
s0290,,,,,,,,,Not Available,Not Available,Not Available,
s0291,5,5,PRIVATE,BOYS AND GIRLS,BOARDING,,,5,200,18,11:1,3.5333
s0292,,,,,,,,,Not Available,Not Available,Not Available,
s0293,,,,,,,,,Not Available,Not Available,Not Available,
s0294,,,,,,,,,Not Available,Not Available,Not Available,
s0295,,,,,,,,,Not Available,Not Available,Not Available,
s0296,,,,,,,,,Not Available,Not Available,Not Available,
s0297,,,,,,,,,Not Available,Not Available,Not Available,
s0298,76,76,PRIVATE,GIRLS ONLY,DAY AND BOARDING,MIXED,COMBINED OA,76,325,30,11:1,1.9561
s0299,178,177,,,,,,177,Not Available,Not Available,Not Available,2.8399
