SCHOOL,NUMBER OF CANDIDATES,SAT FOR EXAM,SCHOOL OWNERSHIP,SCHOOL CATEGORY,SCHOOL TYPE,COMBINATIONS CATEGORY,ACADEMIC LEVEL CATEGORY,N,STUDENTS,TEACHERS,STUDENT-TEACHER RATIO,GPA,1,7,3,8,9,6,4,2,5
s0100,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0101,197,196,GOVERNMENT,BOYS ONLY,DAY AND BOARDING,MIXED,COMBINED OA,,1515,80,19:1,2.7577,5,,,,,,,,
s0102,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0103,471,467,,,,,,o,Not Available,Not Available,Not Available,2.7099,,,,,,,,,
s0104,131,131,,,,,,o,Not Available,Not Available,Not Available,2.7455,,,,,,,,,
s0105,169,169,,,,,,o,Not Available,Not Available,Not Available,2.1617,,,,,,,,,
s0106,8,8,,,,,,o,Not Available,Not Available,Not Available,2.7917,,,,,,,,,
s0107,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0108,282,280,GOVERNMENT,BOYS AND GIRLS,BOARDING,SCIENCE,COMBINED OA,,1000,80,13:1,2.7375,0,,,,,,,,
s0109,599,596,,,,,,o,Not Available,Not Available,Not Available,2.3356,,,,,,,,,
s0110,184,183,GOVERNMENT,BOYS ONLY,BOARDING,MIXED,COMBINED OA,,730,60,12:1,1.6548,,3,,,,,,,
s0111,7,7,,,,,,o,Not Available,Not Available,Not Available,3.3810,,,,,,,,,
s0112,203,194,,,,,,o,Not Available,Not Available,Not Available,2.7706,,,,,,,,,
s0113,22,22,PRIVATE,BOYS ONLY,BOARDING,MIXED,COMBINED OA,,300,30,10:1,2.7576,,,0,,,,,,
s0114,15,15,,,,,,o,Not Available,Not Available,Not Available,2.6889,,,,,,,,,
s0115,305,303,,,,,,o,Not Available,Not Available,Not Available,2.3421,,,,,,,,,
s0116,199,199,,,,,,o,Not Available,Not Available,Not Available,2.6265,,,,,,,,,
s0117,6,6,,,,,,o,Not Available,Not Available,Not Available,3.0833,,,,,,,,,
s0118,10,10,,,,,,o,Not Available,Not Available,Not Available,2.0667,,,,,,,,,
s0119,183,183,GOVERNMENT,BOYS ONLY,BOARDING,MIXED,COMBINED OA,,820,70,12:1,1.6384,,,,2,,,,,
s0120,463,463,GOVERNMENT,BOYS ONLY,BOARDING,MIXED,ALEVEL ONLY,,900,30,30:1,2.4669,,,,,0,,,,
s0121,23,23,,,,,,o,Not Available,Not Available,Not Available,2.4565,,,,,,,,,
s0122,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0123,315,311,,,,,,o,Not Available,Not Available,Not Available,1.9871,,,,,,,,,
s0124,6,6,,,,,,o,Not Available,Not Available,Not Available,2.8056,,,,,,,,,
s0125,441,441,,,,,,o,Not Available,Not Available,Not Available,2.4607,,,,,,,,,
s0126,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0127,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0128,168,168,,,,,,o,Not Available,Not Available,Not Available,2.1171,,,,,,,,,
s0129,317,315,,,,,,o,Not Available,Not Available,Not Available,2.4963,,,,,,,,,
s0130,36,36,PRIVATE,BOYS ONLY,BOARDING,MIXED,COMBINED OA,,300,30,10:1,2.2593,,,0,,,,,,
s0131,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0132,385,385,,,,,,o,Not Available,Not Available,Not Available,2.6355,,,,,,,,,
s0133,342,342,GOVERNMENT,BOYS ONLY,BOARDING,MIXED,ALEVEL ONLY,,800,40,20:1,2.5699,,,,0,,,,,
s0134,241,239,,,,,,o,Not Available,Not Available,Not Available,2.2957,,,,,,,,,
s0135,242,240,,,,,,o,Not Available,Not Available,Not Available,2.6299,,,,,,,,,
s0136,236,235,,,,,,o,Not Available,Not Available,Not Available,2.0184,,,,,,,,,
s0137,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0138,164,163,,,,,,o,Not Available,Not Available,Not Available,2.6554,,,,,,,,,
s0139,198,194,,,,,,o,Not Available,Not Available,Not Available,2.5430,,,,,,,,,
s0140,135,133,GOVERNMENT,BOYS ONLY,BOARDING,MIXED,COMBINED OA,,660,50,13:1,1.4749,,,,,,6,,,
s0141,2,2,,,,,,o,Not Available,Not Available,Not Available,1.6667,,,,,,,,,
s0142,396,393,GOVERNMENT,BOYS ONLY,BOARDING,MIXED,ALEVEL ONLY,,890,60,15:1,2.4296,,,,9,,,,,
s0143,468,465,,,,,,o,Not Available,Not Available,Not Available,2.6935,,,,,,,,,
s0144,429,428,,,,,,o,Not Available,Not Available,Not Available,2.2235,,,,,,,,,
s0145,245,245,,,,,,o,Not Available,Not Available,Not Available,2.5245,,,,,,,,,
s0146,24,24,PRIVATE,BOYS ONLY,BOARDING,MIXED,COMBINED OA,,400,25,16:1,3.0417,,,,,,,0,,
s0147,206,205,,,,,,o,Not Available,Not Available,Not Available,3.1364,,,,,,,,,
s0148,22,22,,,,,,o,Not Available,Not Available,Not Available,2.1970,,,,,,,,,
s0149,477,473,,,,,,o,Not Available,Not Available,Not Available,2.2530,,,,,,,,,
s0150,453,452,GOVERNMENT,BOYS ONLY,BOARDING,MIXED,ALEVEL ONLY,,850,35,24:1,2.6449,,,,5,,,,,
s0151,679,676,GOVERNMENT,BOYS ONLY,,MIXED,ALEVEL ONLY,,1200,50,24:1,2.2133,2,,,,,,,,
s0152,209,204,,,,,,o,Not Available,Not Available,Not Available,2.6242,,,,,,,,,
s0153,252,252,,,,,,o,Not Available,Not Available,Not Available,2.7037,,,,,,,,,
s0154,3,3,PRIVATE,BOYS ONLY,BOARDING,MIXED,COMBINED OA,,300,25,12:1,2.0556,,,0,,,,,,
s0155,109,109,,,,,,o,Not Available,Not Available,Not Available,1.4144,,,,,,,,,
s0156,77,76,GOVERNMENT,BOYS AND GIRLS,BOARDING,SCIENCE,COMBINED OA,,1070,69,16:1,2.8838,0,,,,,,,,
s0157,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0158,428,427,GOVERNMENT,BOYS ONLY,BOARDING,MIXED,ALEVEL ONLY,,1000,50,20:1,2.4161,0,,,,,,,,
s0159,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0160,281,281,,,,,,o,Not Available,Not Available,Not Available,2.2811,,,,,,,,,
s0161,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0162,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0163,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0164,18,18,,,,,,o,Not Available,Not Available,Not Available,3.1574,,,,,,,,,
s0165,17,17,PRIVATE,BOYS ONLY,BOARDING,MIXED,COMBINED OA,,220,20,11:1,2.0392,,,,,,,,2,
s0166,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0167,20,19,PRIVATE,BOYS AND GIRLS,BOARDING,MIXED,COMBINED OA,,400,20,20:1,2.9386,,,,,,,0,,
s0168,39,39,PRIVATE,BOYS ONLY,BOARDING,MIXED,COMBINED OA,,400,30,13:1,2.1709,,,,,,,0,,
s0169,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0170,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0171,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0172,,,PRIVATE,BOYS ONLY,BOARDING,,,,500,50,10:1,,,,,,,,,,0
s0173,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0174,26,26,,,,,,o,Not Available,Not Available,Not Available,3.2179,,,,,,,,,
s0175,44,44,,,,,,o,Not Available,Not Available,Not Available,2.0152,,,,,,,,,
s0176,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0177,37,37,,,,,,o,Not Available,Not Available,Not Available,3.1622,,,,,,,,,
s0178,7,7,,,,,,o,Not Available,Not Available,Not Available,3.1667,,,,,,,,,
s0179,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0180,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0181,4,4,PRIVATE,BOYS AND GIRLS,BOARDING,MIXED,COMBINED OA,,530,40,13:1,2.8333,,,,,,,,,3
s0182,34,33,PRIVATE,BOYS ONLY,DAY AND BOARDING,MIXED,COMBINED OA,,170,19,9:1,3.0101,7,,,,,,,,
s0183,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0184,31,30,PRIVATE,BOYS AND GIRLS,BOARDING,MIXED,COMBINED OA,,500,30,17:1,1.6222,,,,,,,,,0
s0185,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0186,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0187,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0188,88,88,PRIVATE,BOYS AND GIRLS,BOARDING,MIXED,COMBINED OA,,880,60,15:1,2.9242,,,,8,,,,,
s0189,85,85,PRIVATE,BOYS ONLY,DAY AND BOARDING,MIXED,COMBINED OA,,500,45,11:1,1.8216,,,,,,,,,0
s0190,16,16,,,,,,o,Not Available,Not Available,Not Available,2.8021,,,,,,,,,
s0191,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0192,,,PRIVATE,BOYS AND GIRLS,BOARDING,,,,270,20,14:1,,,,,,,,,7,
s0193,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0194,,,PRIVATE,BOYS AND GIRLS,BOARDING,,,,1000,50,20:1,,0,,,,,,,,
s0195,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0196,,,PRIVATE,BOYS AND GIRLS,BOARDING,,,,320,15,21:1,,,,2,,,,,,
s0197,11,11,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,MIXED,COMBINED OA,,400,20,20:1,3.6364,,,,,,,0,,
s0198,9,9,,,,,,o,Not Available,Not Available,Not Available,2.8519,,,,,,,,,
s0199,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0200,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0201,404,403,,,,,,o,Not Available,Not Available,Not Available,2.4309,,,,,,,,,
s0202,476,476,GOVERNMENT,GIRLS ONLY,BOARDING,MIXED,ALEVEL ONLY,,800,40,20:1,2.5826,,,,0,,,,,
s0203,290,290,GOVERNMENT,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,,770,65,12:1,2.9782,,7,,,,,,,
s0204,157,156,GOVERNMENT,GIRLS ONLY,DAY AND BOARDING,MIXED,COMBINED OA,,1251,67,19:1,3.1560,2,,,,,,,,
s0205,35,35,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,,800,40,20:1,2.7619,,,,0,,,,,
s0206,100,100,GOVERNMENT,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,,650,50,13:1,2.0217,,,,,,5,,,
s0207,18,18,,,,,,o,Not Available,Not Available,Not Available,2.7685,,,,,,,,,
s0208,250,249,,,,,,o,Not Available,Not Available,Not Available,2.7651,,,,,,,,,
s0209,387,386,GOVERNMENT,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,,500,40,13:1,2.8614,,,,,,,,,0
s0210,60,60,,,,,,o,Not Available,Not Available,Not Available,2.4139,,,,,,,,,
s0211,424,424,,,,,,o,Not Available,Not Available,Not Available,2.8451,,,,,,,,,
s0212,383,380,,,,,,o,Not Available,Not Available,Not Available,2.4254,,,,,,,,,
s0213,242,242,,,,,,o,Not Available,Not Available,Not Available,2.4497,,,,,,,,,
s0214,145,145,GOVERNMENT,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,,600,45,13:1,1.6425,,,,,,0,,,
s0215,313,312,,,,,,o,Not Available,Not Available,Not Available,2.0422,,,,,,,,,
s0216,438,435,,,,,,o,Not Available,Not Available,Not Available,2.4034,,,,,,,,,
s0217,15,15,,,,,,o,Not Available,Not Available,Not Available,3.1000,,,,,,,,,
s0218,255,253,,,,,,o,Not Available,Not Available,Not Available,2.9150,,,,,,,,,
s0219,398,398,,,,,,o,Not Available,Not Available,Not Available,2.4261,,,,,,,,,
s0220,122,122,GOVERNMENT,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,,700,50,14:1,1.9699,,0,,,,,,,
s0221,361,361,,,,,,o,Not Available,Not Available,Not Available,2.2410,,,,,,,,,
s0222,193,191,,,,,,o,Not Available,Not Available,Not Available,3.2539,,,,,,,,,
s0223,30,30,,,,,,o,Not Available,Not Available,Not Available,3.1222,,,,,,,,,
s0224,41,41,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,,500,30,17:1,1.9472,,,,,,,,,0
s0225,,,PRIVATE,GIRLS ONLY,BOARDING,,,,500,25,20:1,,,,,,,,,,0
s0226,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0227,553,549,,,,,,o,Not Available,Not Available,Not Available,2.8063,,,,,,,,,
s0228,386,385,GOVERNMENT,GIRLS ONLY,BOARDING,MIXED,ALEVEL ONLY,,700,50,14:1,2.6671,,0,,,,,,,
s0229,262,262,,,,,,o,Not Available,Not Available,Not Available,2.6724,,,,,,,,,
s0230,365,362,,,,,,o,Not Available,Not Available,Not Available,2.6975,,,,,,,,,
s0231,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0232,,,PRIVATE,GIRLS ONLY,BOARDING,,,,360,20,18:1,,,,6,,,,,,
s0233,286,286,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,,500,45,11:1,1.7931,,,,,,,,,0
s0234,10,10,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,,322,19,17:1,3.5000,,,2,,,,,,
s0235,10,10,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,,600,45,13:1,2.8167,,,,,,0,,,
s0236,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0237,,,PRIVATE,GIRLS ONLY,BOARDING,ARTS,COMBINED OA,,420,25,17:1,,,,,,,,2,,
s0238,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0239,,,PRIVATE,GIRLS ONLY,BOARDING,,,,350,28,13:1,,,,5,,,,,,
s0240,8,8,,,,,,o,Not Available,Not Available,Not Available,3.1458,,,,,,,,,
s0241,28,27,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,,500,40,13:1,3.0864,,,,,,,,,0
s0242,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0243,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0244,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0245,18,18,,,,,,o,Not Available,Not Available,Not Available,2.6296,,,,,,,,,
s0246,28,26,,,,,,o,Not Available,Not Available,Not Available,3.1795,,,,,,,,,
s0247,10,10,,,,,,o,Not Available,Not Available,Not Available,2.3333,,,,,,,,,
s0248,81,81,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,,880,70,13:1,1.9342,,,,8,,,,,
s0249,40,40,PRIVATE,GIRLS ONLY,DAY AND BOARDING,MIXED,COMBINED OA,,500,30,17:1,2.6333,,,,,,,,,0
s0250,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0251,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0252,47,47,,,,,,o,Not Available,Not Available,Not Available,2.9433,,,,,,,,,
s0253,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0254,7,7,,,,,,o,Not Available,Not Available,Not Available,2.6429,,,,,,,,,
s0255,140,140,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,,420,43,10:1,2.0845,,,,,,,2,,
s0256,40,40,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,,280,22,13:1,2.7625,,,,,,,,8,
s0257,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0258,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0259,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0260,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0261,,,PRIVATE,GIRLS ONLY,DAY AND BOARDING,ARTS,COMBINED OA,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0262,,,PRIVATE,GIRLS ONLY,BOARDING,,,,320,30,11:1,,,,2,,,,,,
s0263,83,83,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,,480,35,14:1,2.3173,,,,,,,8,,
s0264,82,82,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,,600,37,16:1,2.6667,,,,,,0,,,
s0265,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0266,6,6,,,,,,o,Not Available,Not Available,Not Available,3.2500,,,,,,,,,
s0267,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0268,,,PRIVATE,GIRLS ONLY,BOARDING,,,,500,32,16:1,,,,,,,,,,0
s0269,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0270,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0271,110,110,,,,,,o,Not Available,Not Available,Not Available,3.0136,,,,,,,,,
s0272,54,53,,,,,,o,Not Available,Not Available,Not Available,2.3931,,,,,,,,,
s0273,,,PRIVATE,GIRLS ONLY,BOARDING,,,,300,20,15:1,,,,0,,,,,,
s0274,,,PRIVATE,BOYS AND GIRLS,BOARDING,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0275,8,8,,,,,,o,Not Available,Not Available,Not Available,2.8958,,,,,,,,,
s0276,323,321,GOVERNMENT,GIRLS ONLY,BOARDING,MIXED,ALEVEL ONLY,,700,25,28:1,3.0218,,0,,,,,,,
s0277,,,PRIVATE,GIRLS ONLY,BOARDING,,,,320,25,13:1,,,,2,,,,,,
s0278,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0279,12,12,,,,,,o,Not Available,Not Available,Not Available,2.4583,,,,,,,,,
s0280,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0281,187,186,,,,,,o,Not Available,Not Available,Not Available,2.3916,,,,,,,,,
s0282,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0283,5,5,PRIVATE,GIRLS ONLY,BOARDING,,,,280,25,11:1,2.4333,,,,,,,,8,
s0284,34,34,,,,,,o,Not Available,Not Available,Not Available,2.7059,,,,,,,,,
s0285,7,7,,,,,,o,Not Available,Not Available,Not Available,2.8571,,,,,,,,,
s0286,,,PRIVATE,GIRLS ONLY,BOARDING,,,,330,30,11:1,,,,3,,,,,,
s0287,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0288,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0289,,,PRIVATE,GIRLS ONLY,BOARDING,,,,380,30,13:1,,,,8,,,,,,
s0290,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0291,5,5,PRIVATE,BOYS AND GIRLS,BOARDING,,,,200,18,11:1,3.5333,,,,,,,,0,
s0292,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0293,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0294,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0295,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0296,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0297,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0298,76,76,PRIVATE,GIRLS ONLY,DAY AND BOARDING,MIXED,COMBINED OA,,325,30,11:1,1.9561,,,2,,,,,,
s0299,178,177,,,,,,o,Not Available,Not Available,Not Available,2.8399,,,,,,,,,
